topic_index,topic_words
0,"[('business', 0.025308025308025308), ('poverty', 0.01998001998001998), ('partners', 0.018648018648018648), ('reports', 0.013653013653013654), ('enterprise', 0.013653013653013654), ('living', 0.012654012654012654), ('impact', 0.012321012321012322), ('home', 0.011988011988011988), ('people', 0.011322011322011322), ('uganda', 0.011322011322011322)]"
1,"[('economic', 0.0344542447629548), ('services', 0.03335170893054024), ('development', 0.030871003307607496), ('visit', 0.029768467475192944), ('office', 0.029492833517089305), ('est', 0.026185226019845645), ('finance', 0.016538037486218304), ('global', 0.011576626240352812), ('international', 0.011025358324145534), ('clients', 0.010474090407938258)]"
2,"[('read', 0.030115830115830116), ('support', 0.023423423423423424), ('women', 0.022393822393822392), ('covid', 0.021106821106821105), ('careers', 0.014414414414414415), ('international', 0.01287001287001287), ('rights', 0.012612612612612612), ('communities', 0.012097812097812098), ('search', 0.012097812097812098), ('latest', 0.011840411840411841)]"
3,"[('financial', 0.03020227209753394), ('microfinance', 0.02715433638126905), ('members', 0.01690218897201441), ('cooperative', 0.013022998060404543), ('sector', 0.013022998060404543), ('impact', 0.013022998060404543), ('institutions', 0.011637572734829594), ('inclusive', 0.011637572734829594), ('coop', 0.010529232474369632), ('services', 0.010252147409254642)]"
4,"[('development', 0.02041387024608501), ('team', 0.019574944071588368), ('work', 0.019574944071588368), ('contact', 0.017058165548098435), ('training', 0.015659955257270694), ('partners', 0.0145413870246085), ('africa', 0.013143176733780761), ('access', 0.012583892617449664), ('farmers', 0.012583892617449664), ('market', 0.012024608501118568)]"
5,"[('donate', 0.03628929210324559), ('work', 0.03347814975721952), ('give', 0.024278047533861487), ('children', 0.0217224635829287), ('learn', 0.0168668540761564), ('monthly', 0.013800153335037056), ('ways', 0.013544594939943777), ('mission', 0.011755686174290826), ('future', 0.011244569384104269), ('involved', 0.01098901098901099)]"
6,"[('research', 0.03051643192488263), ('health', 0.023474178403755867), ('education', 0.017475221700573813), ('social', 0.01617110067814293), ('resources', 0.015127803860198226), ('solutions', 0.01486697965571205), ('food', 0.013041210224308816), ('international', 0.012519561815336464), ('youth', 0.012258737610850287), ('program', 0.011215440792905582)]"
7,"[('world', 0.026906936558874352), ('stories', 0.024438410269069365), ('people', 0.024191557640088866), ('hope', 0.022463589237225377), ('poverty', 0.021723031350283882), ('global', 0.019501357689459393), ('lives', 0.015798568254751913), ('join', 0.015304862996790916), ('families', 0.01481115773882992), ('blog', 0.013823747222907924)]"
