,name,location,website,org_type,mission_statement,countries_of_involvement,practice_areas,website_content,error_loading_website,processed_text,lemmatized_text,lemmatized_mission,Topic_index,count_text
63,Opportunity International,United States,http://www.opportunity.org/,Development Organization,providing financial solutions training empower people living poverty transform lives childrens futures communities,"China; Colombia; Congo, DRC; Ghana; India; Indonesia; Malawi; Mozambique; Nicaragua; Philippines; Serbia; Tanzania; Uganda; Zimbabwe","['Education', 'Financial Inclusion', 'Housing', 'Livelihoods', 'Market Systems Development', 'MSME Development', 'Rural & Agricultural Development', 'Savings-Led Community Finance', 'Youth & Children']",welcome choose region north america canada united states asia pacific australia hong kong europe germany switzerland united kingdom opportunity international,False,providing financial solutions training empower people living poverty transform lives childrens futures communitieswelcome choose region north america canada united states asia pacific australia hong kong europe germany switzerland united kingdom opportunity international,providing financial solutions training empower people living poverty transform lives childrens futures communitieswelcome choose region north america canada united states asia pacific australia hong kong europe germany switzerland united kingdom opportunity international,providing financial solutions training empower people living poverty transform lives childrens futures communities,2,271
1,AEMFI - Association of Ethiopian Microfinance Institutions,Ethiopia,http://www.aemfi-ethiopia.org/,"National, Regional, Global Network",enhance capacity microfinance institutions financial cooperatives deliver financials services urban rural households technical assistance human capital development knowledge management research networking advocating promoting industry mutual cooperation members practitioners key stakeholders,Ethiopia,"['Education', 'Environment & Climate', 'Financial Consumer Protection', 'Financial Inclusion', 'Housing', 'Livelihoods', 'MSME Development', 'Rural & Agricultural Development', 'Savings-Led Community Finance', 'Urban Development']",,True,enhance capacity microfinance institutions financial cooperatives deliver financials services urban rural households technical assistance human capital development knowledge management research networking advocating promoting industry mutual cooperation members practitioners key stakeholders,enhance capacity microfinance institutions financial cooperatives deliver financials services urban rural households technical assistance human capital development knowledge management research networking advocating promoting industry mutual cooperation members practitioners key stakeholders,enhance capacity microfinance institutions financial cooperatives deliver financials services urban rural households technical assistance human capital development knowledge management research networking advocating promoting industry mutual cooperation members practitioners key stakeholders,3,292
33,Hand in Hand International,United Kingdom,http://www.handinhandinternational.org/,Development Organization,look poverty differently youll grassroots entrepreneurs full energy ideas help turn skills potential jobs find way povertyhand hand helped create grow millions jobs since nine times ten jobs womens work women unique barriers face barriers overcome better yet broken whole families communities win,Afghanistan; India; Kenya; Rwanda; Sweden; Tanzania; United Kingdom; United States; Zimbabwe,"['Environment and Climate', 'Financial Inclusion', 'Gender Equality', 'Livelihoods', 'Market Systems Development', 'MSME Development', 'Rural and Agricultural Development', 'Savings-Led Community Finance', 'Youth & Children']",,True,look poverty differently youll grassroots entrepreneurs full energy ideas help turn skills potential jobs find way povertyhand hand helped create grow millions jobs since nine times ten jobs womens work women unique barriers face barriers overcome better yet broken whole families communities win,look poverty differently youll grassroots entrepreneurs full energy ideas help turn skills potential jobs find way povertyhand hand helped create grow millions jobs since nine times ten jobs womens work women unique barriers face barriers overcome better yet broken whole families communities win,look poverty differently youll grassroots entrepreneurs full energy ideas help turn skills potential jobs find way povertyhand hand helped create grow millions jobs since nine times ten jobs womens work women unique barriers face barriers overcome better yet broken whole families communities win,0,296
37,Humanity & Inclusion,North America,http://www.hi-us.org/,Development Organization,humanity inclusion new name handicap international independent impartial aid organization working situations poverty exclusion conflict disasterwe work alongside people disabilities vulnerable populations taking action bearing witness order respond essential needs improve living conditions promote respect dignity fundamental rights,"Afghanistan; Algeria; Angola; Bangladesh; Belgium; Benin; Bolivia; Burkina Faso; Burundi; Cambodia; Canada; Central African Republic; Chad; China; Colombia; Congo, DRC; Congo; Cuba; Ecuador; Egypt; Ethiopia; France; Germany; Guinea-Bissau; Haiti; India; Indonesia; Iraq; Jordan; Kenya; Laos; Lebanon; Liberia; Libya; Luxembourg; Madagascar; Mali; Mauritania; Morocco; Mozambique; Myanmar; Nepal; Nicaragua; Niger; North Korea; Pakistan; Palestine; Philippines; Rwanda; Senegal; Sierra Leone; Somalia; South Sudan; Sri Lanka; Switzerland; Syria; Tanzania; Thailand; Timor-Leste; Togo; Tunisia; Uganda; United Kingdom; United States; Vietnam; Yemen","['Disaster Risk Reduction', 'Education', 'Environment & Climate', 'Financial Inclusion', 'Food Security & Nutrition', 'Fragile & Conflict-affected Environments', 'Gender Equality', 'Health. Livelihoods', 'Market Systems Development', 'MSME Development', 'Rural & Agricultural Development', 'Savings-Led Community Finance', 'Urban Development', 'WASH', 'Youth & Children']",loading,False,humanity inclusion new name handicap international independent impartial aid organization working situations poverty exclusion conflict disasterwe work alongside people disabilities vulnerable populations taking action bearing witness order respond essential needs improve living conditions promote respect dignity fundamental rightsloading,humanity inclusion new name handicap international independent impartial aid organization working situations poverty exclusion conflict disasterwe work alongside people disabilities vulnerable populations taking action bearing witness order respond essential needs improve living conditions promote respect dignity fundamental rightsloading,humanity inclusion new name handicap international independent impartial aid organization working situations poverty exclusion conflict disasterwe work alongside people disabilities vulnerable populations taking action bearing witness order respond essential needs improve living conditions promote respect dignity fundamental rights,2,340
13,CAM - China Association of Microfinance,China,http://www.chinamfi.net,"National, Regional, Global Network",offer inclusive financial services financially underserviced groups especially poor lowincome populations promote establishment harmonious society providing services support member institutions enhancing outreach sustainability mfis well overall capacity level microfinance sector,China,"['Financial Consumer Protection', 'Financial Inclusion', 'MSME Development', 'Rural & Agricultural Development']",english ip sptf wb accu camchinamfinet camchinamfinet cb httpweibocommicrofinance icp,False,offer inclusive financial services financially underserviced groups especially poor lowincome populations promote establishment harmonious society providing services support member institutions enhancing outreach sustainability mfis well overall capacity level microfinance sectorenglish ip sptf wb accu camchinamfinet camchinamfinet cb httpweibocommicrofinance icp,offer inclusive financial services financially underserviced groups especially poor lowincome populations promote establishment harmonious society providing services support member institutions enhancing outreach sustainability mfis well overall capacity level microfinance sectorenglish ip sptf wb accu camchinamfinet camchinamfinet cb httpweibocommicrofinance icp,offer inclusive financial services financially underserviced groups especially poor lowincome populations promote establishment harmonious society providing services support member institutions enhancing outreach sustainability mfis well overall capacity level microfinance sector,3,365
82,Trocaire,Ireland,https://www.trocaire.org/,Development Organization,vision trcaire envisages peaceful world peoples dignity ensured andrights respected basic needs met resources shared equitably peoplehave control lives power act common goodmission inspired gospel values trcaire works sustainable world,"Congo, DRC; Ethiopia; Guatemala; Honduras; Ireland; Kenya; Lebanon; Malawi; Myanmar; Nicaragua; Pakistan; Palestine; Rwanda; Sierra Leone; Somalia; South Sudan; Syria; Uganda; United Kingdom; Zimbabwe","['Disaster Risk Reduction', 'Environment and Climate', 'Food Security and Nutrition', 'Fragile and Conflict-affected Environments', 'Gender Equality', 'Livelihoods', 'Market Systems Development', 'Rural and Agricultural Development', 'Savings-Led Community Finance']",error ray id bebdfe utc bad gateway browser working berlin cloudflare working wwwtrocaireorg host error happened web server reported bad gateway error please try minutes cloudflare ray id bebdfe ip performance security cloudflare,False,vision trcaire envisages peaceful world peoples dignity ensured andrights respected basic needs met resources shared equitably peoplehave control lives power act common goodmission inspired gospel values trcaire works sustainable worlderror ray id bebdfe utc bad gateway browser working berlin cloudflare working wwwtrocaireorg host error happened web server reported bad gateway error please try minutes cloudflare ray id bebdfe ip performance security cloudflare,vision trcaire envisages peaceful world peoples dignity ensured andrights respected basic needs met resources shared equitably peoplehave control lives power act common goodmission inspired gospel values trcaire works sustainable worlderror ray id bebdfe utc bad gateway browser working berlin cloudflare working wwwtrocaireorg host error happened web server reported bad gateway error please try minutes cloudflare ray id bebdfe ip performance security cloudflare,vision trcaire envisages peaceful world peoples dignity ensured andrights respected basic needs met resources shared equitably peoplehave control lives power act common goodmission inspired gospel values trcaire works sustainable world,0,464
77,SG4Africa / PEEP - Policy Experimentation & Evaluation Platform,Portugal,http://www.sg4africa.org,Research and Academic Organization,officially launched april sgafrica wwwsgafricaorg panafrican research project exploring phenomenon savings groups diverse manifestations across continent names savings group phenomenon vary country called stokvel south africa chama kenya susu ghana may differ detail concepts striking similarities sgs strong cultural connotation illustrated link kenyas chamas harambee swahili pull together central kenyan culture enshrined countrys coat arms ecosystems surrounding savings groups vary substantially countries research aims capture differences encyclopedic form resulting publication booklet comprehensive findings,"Angola; Botswana; Burkina Faso; Burundi; Cameroon; Cape Verde; Congo, DRC; Cote d'Ivoire; Ethiopia; Kenya; Madagascar; Malawi; Mali; Mozambique; Portugal; Rwanda; Senegal; South Africa; Tanzania; Togo; Uganda; Zambia; Zimbabwe","['Education', 'Financial Inclusion', 'MSME Development', 'Youth & Children']",,True,officially launched april sgafrica wwwsgafricaorg panafrican research project exploring phenomenon savings groups diverse manifestations across continent names savings group phenomenon vary country called stokvel south africa chama kenya susu ghana may differ detail concepts striking similarities sgs strong cultural connotation illustrated link kenyas chamas harambee swahili pull together central kenyan culture enshrined countrys coat arms ecosystems surrounding savings groups vary substantially countries research aims capture differences encyclopedic form resulting publication booklet comprehensive findings,officially launched april sgafrica wwwsgafricaorg panafrican research project exploring phenomenon savings groups diverse manifestations across continent names savings group phenomenon vary country called stokvel south africa chama kenya susu ghana may differ detail concepts striking similarities sgs strong cultural connotation illustrated link kenyas chamas harambee swahili pull together central kenyan culture enshrined countrys coat arms ecosystems surrounding savings groups vary substantially countries research aims capture differences encyclopedic form resulting publication booklet comprehensive findings,officially launched april sgafrica wwwsgafricaorg panafrican research project exploring phenomenon savings groups diverse manifestations across continent names savings group phenomenon vary country called stokvel south africa chama kenya susu ghana may differ detail concepts striking similarities sgs strong cultural connotation illustrated link kenyas chamas harambee swahili pull together central kenyan culture enshrined countrys coat arms ecosystems surrounding savings groups vary substantially countries research aims capture differences encyclopedic form resulting publication booklet comprehensive findings,0,615
88,World Education,United States,http://www.worlded.org,Development Organization,world education inc dedicated improving lives poor education social economic development programs world education well known work around globe education formal nonformal sectors community development school governance girls womens education integrated literacy maternal child health microcredit small enterprise development hiv aids education prevention care environmental education refugee training monitoring evaluation world education also works strengthen adult literacy basic education united states projects designed contribute individual growth community participation institutional capacity national development,Benin; Cambodia; China; Cote d'Ivoire; Egypt; Ghana; Guinea; India; Indonesia; Jordan; Laos; Malawi; Mali; Mozambique; Myanmar; Nepal; Senegal; South Africa; Swaziland; Tanzania; Thailand; Timor-Leste; Uganda; Zimbabwe,"['Education', 'Financial Inclusion', 'Youth & Children']",,True,world education inc dedicated improving lives poor education social economic development programs world education well known work around globe education formal nonformal sectors community development school governance girls womens education integrated literacy maternal child health microcredit small enterprise development hiv aids education prevention care environmental education refugee training monitoring evaluation world education also works strengthen adult literacy basic education united states projects designed contribute individual growth community participation institutional capacity national development,world education inc dedicated improving lives poor education social economic development programs world education well known work around globe education formal nonformal sectors community development school governance girls womens education integrated literacy maternal child health microcredit small enterprise development hiv aids education prevention care environmental education refugee training monitoring evaluation world education also works strengthen adult literacy basic education united states projects designed contribute individual growth community participation institutional capacity national development,world education inc dedicated improving lives poor education social economic development programs world education well known work around globe education formal nonformal sectors community development school governance girls womens education integrated literacy maternal child health microcredit small enterprise development hiv aids education prevention care environmental education refugee training monitoring evaluation world education also works strengthen adult literacy basic education united states projects designed contribute individual growth community participation institutional capacity national development,6,619
52,MarketShare Associates,United States,http://www.marketshareassociates.com,Development Organization,marketshare associates msa global firm creative facilitators strategic coaches experienced research nerds believe ability human economic insights transform market systems empower clients identify implement business opportunities social good strive understand clients circumstances tailor work meet needs msa offers disruptive access market intelligence impact measurement coaching designed generate social change global scale believe shared value strategy helps clients stay relevant attract new talent drive decisionmaking create community impact msa thrive collaborative work environment demands excellence hustle humility quest promote prosperous inclusive communities across globe,"Afghanistan; Bangladesh; Bolivia; Brazil; Burkina Faso; Cambodia; Canada; Congo, DRC; Ecuador; Egypt; El Salvador; Ethiopia; Georgia; Ghana; Guatemala; India; Indonesia; Italy; Jordan; Kenya; Malawi; Morocco; Mozambique; Nepal; Netherlands; Niger; Nigeria; Pakistan; Palestine; Peru; Rwanda; Sierra Leone; Sri Lanka; Switzerland; Tajikistan; Tanzania; Uganda; United Kingdom; United States; Vietnam; Zambia; Zimbabwe","['Education', 'Food Security & Nutrition', 'Gender Equality', 'Health', 'Housing', 'Market Systems Development', 'Rural & Agricultural Development', 'Youth & Children']",acceptable appropriate representation requested resource could found server error generated modsecurity,False,marketshare associates msa global firm creative facilitators strategic coaches experienced research nerds believe ability human economic insights transform market systems empower clients identify implement business opportunities social good strive understand clients circumstances tailor work meet needs msa offers disruptive access market intelligence impact measurement coaching designed generate social change global scale believe shared value strategy helps clients stay relevant attract new talent drive decisionmaking create community impact msa thrive collaborative work environment demands excellence hustle humility quest promote prosperous inclusive communities across globeacceptable appropriate representation requested resource could found server error generated modsecurity,marketshare associates msa global firm creative facilitators strategic coaches experienced research nerds believe ability human economic insights transform market systems empower clients identify implement business opportunities social good strive understand clients circumstances tailor work meet needs msa offers disruptive access market intelligence impact measurement coaching designed generate social change global scale believe shared value strategy helps clients stay relevant attract new talent drive decisionmaking create community impact msa thrive collaborative work environment demands excellence hustle humility quest promote prosperous inclusive communities across globeacceptable appropriate representation requested resource could found server error generated modsecurity,marketshare associates msa global firm creative facilitators strategic coaches experienced research nerds believe ability human economic insights transform market systems empower clients identify implement business opportunities social good strive understand clients circumstances tailor work meet needs msa offers disruptive access market intelligence impact measurement coaching designed generate social change global scale believe shared value strategy helps clients stay relevant attract new talent drive decisionmaking create community impact msa thrive collaborative work environment demands excellence hustle humility quest promote prosperous inclusive communities across globe,3,787
29,GHAMFIN - Ghana Microfinance Institutions Network,Ghana,www.ghamfin.org/,"National, Regional, Global Network",promote inclusive responsible financial sector ghana building capacity apex members advocating issues advance microfinance policies operations coordinating activities diverse membership,Ghana,"['Environment & Climate', 'Financial Consumer Protection', 'Financial Inclusion', 'Gender Equality', 'Livelihoods', 'Market Systems Development', 'MSME Development', 'Rural & Agricultural Development', 'Savings-Led Community Finance', 'Urban Development', 'WASH']",ghamfin ghana microfinance institutions network search home membership services projects elearning services board management certification program board management certification program nonbanking financial institutions read sourcing dissemination information sourcing dissemination one fulcrum activities ghamfin read promoting transparency accountability order emphasis strong demand sustainable microfinance institutions read subscribing mailing list receive weeklynewsletter latest offers leave field empty youre human copyright ghana microfinance institutions network right reserved termsprivacy policycareers home membership services projects elearning,False,promote inclusive responsible financial sector ghana building capacity apex members advocating issues advance microfinance policies operations coordinating activities diverse membershipghamfin ghana microfinance institutions network search home membership services projects elearning services board management certification program board management certification program nonbanking financial institutions read sourcing dissemination information sourcing dissemination one fulcrum activities ghamfin read promoting transparency accountability order emphasis strong demand sustainable microfinance institutions read subscribing mailing list receive weeklynewsletter latest offers leave field empty youre human copyright ghana microfinance institutions network right reserved termsprivacy policycareers home membership services projects elearning,promote inclusive responsible financial sector ghana building capacity apex members advocating issues advance microfinance policies operations coordinating activities diverse membershipghamfin ghana microfinance institutions network search home membership services projects elearning services board management certification program board management certification program nonbanking financial institutions read sourcing dissemination information sourcing dissemination one fulcrum activities ghamfin read promoting transparency accountability order emphasis strong demand sustainable microfinance institutions read subscribing mailing list receive weeklynewsletter latest offers leave field empty youre human copyright ghana microfinance institutions network right reserved termsprivacy policycareers home membership services projects elearning,promote inclusive responsible financial sector ghana building capacity apex members advocating issues advance microfinance policies operations coordinating activities diverse membership,3,843
51,Making Cents International,United States,http://www.makingcents.com/,Development Organization,making cents international advances social economic wellbeing youth adults globally capacitybuilding products services enable positive youth development adult participation profitable markets employ collaborative monitoring evaluation research learning services understand project results design innovative products strategies advance youth development economic opportunity fields,"Congo, DRC; Dominican Republic; Ethiopia; Guyana; Jordan; Kyrgyzstan; Lebanon; Malawi; Nigeria; South Africa; Syria; Tajikistan; Turkmenistan; Uganda; Uganda; Ukraine; United States; Zambia","['Financial Inclusion', 'Food Security & Nutrition', 'Gender Equality', 'Livelihoods', 'Market Systems Development', 'MSME Development', 'Rural & Agricultural Development', 'Savings-Led Community Finance', 'Youth & Children']",practice areas services work join team blog contact fostering human potential promoting economic opportunity youthpower learning evaluation building success youthpower learning achieve systems change promoting positive youth development read serving diverse clients countries projects local organizations making cents international womenowned small business get know read blog instagram connect sign newsletter infomakingcentscom privacy policy visit sites youtheconomicopportunitiesorg global youth economic pportunitiessummit youthpowe r youthlead hiring join team,False,making cents international advances social economic wellbeing youth adults globally capacitybuilding products services enable positive youth development adult participation profitable markets employ collaborative monitoring evaluation research learning services understand project results design innovative products strategies advance youth development economic opportunity fieldspractice areas services work join team blog contact fostering human potential promoting economic opportunity youthpower learning evaluation building success youthpower learning achieve systems change promoting positive youth development read serving diverse clients countries projects local organizations making cents international womenowned small business get know read blog instagram connect sign newsletter infomakingcentscom privacy policy visit sites youtheconomicopportunitiesorg global youth economic pportunitiessummit youthpowe r youthlead hiring join team,making cents international advances social economic wellbeing youth adults globally capacitybuilding products services enable positive youth development adult participation profitable markets employ collaborative monitoring evaluation research learning services understand project results design innovative products strategies advance youth development economic opportunity fieldspractice areas services work join team blog contact fostering human potential promoting economic opportunity youthpower learning evaluation building success youthpower learning achieve systems change promoting positive youth development read serving diverse clients countries projects local organizations making cents international womenowned small business get know read blog instagram connect sign newsletter infomakingcentscom privacy policy visit sites youtheconomicopportunitiesorg global youth economic pportunitiessummit youthpowe r youthlead hiring join team,making cents international advances social economic wellbeing youth adults globally capacitybuilding products services enable positive youth development adult participation profitable markets employ collaborative monitoring evaluation research learning services understand project results design innovative products strategies advance youth development economic opportunity fields,6,946
