,name,location,website,org_type,mission_statement,countries_of_involvement,practice_areas,website_content,error_loading_website,processed_text,lemmatized_text,lemmatized_mission,Topic_index,count_text
4,AMFA - Azerbaijan Micro-Finance Association,Azerbaijan,http://www.amfa.az/,"National, Regional, Global Network",strengthen capacity microfinance institutions promote effective collective action advancing interests microfinance community clients,Azerbaijan,"['Financial Consumer Protection', 'Financial Inclusion', 'Gender Equality', 'MSME Development']",,True,strengthen capacity microfinance institutions promote effective collective action advancing interests microfinance community clients,strengthen capacity microfinance institutions promote effective collective action advancing interests microfinance community clients,strengthen capacity microfinance institutions promote effective collective action advancing interests microfinance community clients,3,132
69,"ProDesarrollo, Finanzas y Microempresa",Mexico,http://www.prodesarrollo.org/,"National, Regional, Global Network","offer strengthening representative services associated institutions , fostering compatible attractive contexts add value permanence sector",Mexico,"['Financial Consumer Protection', 'Financial Inclusion', 'Gender Equality', 'MSME Development', 'Savings-Led Community Finance']",,True,"offer strengthening representative services associated institutions , fostering compatible attractive contexts add value permanence sector","offer strengthening representative services associated institutions , fostering compatible attractive contexts add value permanence sector","offer strengthening representative services associated institutions , fostering compatible attractive contexts add value permanence sector",4,138
15,CDF - Credit and Development Forum,Bangladesh,http://www.cdfbd.org/,"National, Regional, Global Network",efficient microfinance industry striking balance outreach sustainability cfd works institutions striving economic changes underprivileged people,Bangladesh,"['Disaster Risk Reduction', 'Education', 'Environment & Climate', 'Financial Inclusion', 'Food Security & Nutrition', 'Gender Equality', 'Health', 'Housing', 'Livelihoods', 'MSME Development', 'Rural & Agricultural Development', 'Savings-Led Community Finance', 'WASH']",,True,efficient microfinance industry striking balance outreach sustainability cfd works institutions striving economic changes underprivileged people,efficient microfinance industry striking balance outreach sustainability cfd works institutions striving economic changes underprivileged people,efficient microfinance industry striking balance outreach sustainability cfd works institutions striving economic changes underprivileged people,0,144
93,Yemen Kuwait Bank,Yemen,https://www.yk-bank.com/,Other: Commercial Bank,pioneers quality services provide provide customers integrated services,Yemen,"['Financial Inclusion', 'Livelihoods', 'MSME Development']",en ykb ykb ykb en copy powered icon ykb mobile ykb mobile custcareykbankcom ykb mobile powered icon,False,pioneers quality services provide provide customers integrated servicesen ykb ykb ykb en copy powered icon ykb mobile ykb mobile custcareykbankcom ykb mobile powered icon,pioneers quality services provide provide customers integrated servicesen ykb ykb ykb en copy powered icon ykb mobile ykb mobile custcareykbankcom ykb mobile powered icon,pioneers quality services provide provide customers integrated services,4,170
27,FSD Zambia,Zambia,http://fsdzambia.org/,Development Organization,fsdz development organization seeks expand deepen financial market throughout zambia,South Africa; Tanzania; Uganda; United Kingdom; United States; Zambia; Zimbabwe,"['Financial Inclusion', 'Gender Equality', 'MSME Development', 'Savings-Led Community Finance', 'Youth & Children']",acceptable appropriate representation requested resource could found server error generated modsecurity,False,fsdz development organization seeks expand deepen financial market throughout zambiaacceptable appropriate representation requested resource could found server error generated modsecurity,fsdz development organization seeks expand deepen financial market throughout zambiaacceptable appropriate representation requested resource could found server error generated modsecurity,fsdz development organization seeks expand deepen financial market throughout zambia,3,187
70,RIM Burundi - Réseau des Institutions de Microfinance au Burundi,Burundi,http://www.rimburundi.org/,"National, Regional, Global Network",contribute development viable efficacious financial services assist poor lowincome population excluded traditional banking structure supporting mfi members achieving missions objectives,Burundi,"['Education', 'Financial Inclusion', 'Market Systems Development']",warning : detect less 5000 characters,False,contribute development viable efficacious financial services assist poor lowincome population excluded traditional banking structure supporting mfi members achieving missions objectiveswarning : detect less 5000 characters,contribute development viable efficacious financial services assist poor lowincome population excluded traditional banking structure supporting mfi members achieving missions objectiveswarning : detect less 5000 characters,contribute development viable efficacious financial services assist poor lowincome population excluded traditional banking structure supporting mfi members achieving missions objectives,1,222
17,CMFA - Caribbean Microfinance Alliance,Jamaica,http://www.caribbeanmicrofinancealliance.com,"National, Regional, Global Network",cmfas mission contribute provision effective sustainable microfinance services caribbean microentrepreneurs supporting mfis improving outreach financial performance,Barbados; Belize; Dominica; Grenada; Guyana; Suriname; Trinidad and Tobago,"['Disaster Risk Reduction', 'Education', 'MSME Development']",wechat tiktok apec f apec u qqpc copyright rights reserved icp,False,cmfas mission contribute provision effective sustainable microfinance services caribbean microentrepreneurs supporting mfis improving outreach financial performancewechat tiktok apec f apec u qqpc copyright rights reserved icp,cmfas mission contribute provision effective sustainable microfinance services caribbean microentrepreneurs supporting mfis improving outreach financial performancewechat tiktok apec f apec u qqpc copyright rights reserved icp,cmfas mission contribute provision effective sustainable microfinance services caribbean microentrepreneurs supporting mfis improving outreach financial performance,3,226
94,YFoundation,Yemen,https://yfoundation.org/,Development Organization,better life community,Yemen,"['Education', 'Financial Consumer Protection', 'Financial Inclusion', 'Food Security and Nutrition', 'Health', 'Livelihoods', 'Market Systems Development', 'MSME Development', 'Rural and Agricultural Development', 'Savings-led Community Finance', 'WASH', 'Youth & Children']",activate activity home home members services register home home yfoundation fao tweet tweet tweet tweet tweet tweet smile tweet yfoundation yfondation gmwchallenge gmw cyfi yfoundation gmw tweet tweet tweet,False,better life communityactivate activity home home members services register home home yfoundation fao tweet tweet tweet tweet tweet tweet smile tweet yfoundation yfondation gmwchallenge gmw cyfi yfoundation gmw tweet tweet tweet,better life communityactivate activity home home members services register home home yfoundation fao tweet tweet tweet tweet tweet tweet smile tweet yfoundation yfondation gmwchallenge gmw cyfi yfoundation gmw tweet tweet tweet,better life community,3,227
21,CSD Nepal,Nepal,www.csdnepal.org.np/,Development Organization,improve strengthen micro finance related services mfis cooperatives capacity building training knowledge dissemination networking,Nepal,"['Financial Inclusion', 'Gender Equality', 'Health', 'Housing', 'Livelihoods', 'MSME Development', 'Rural & Agricultural Development', 'Savings-Led Community Finance']",acceptable appropriate representation requested resource could found server error generated modsecurity,False,improve strengthen micro finance related services mfis cooperatives capacity building training knowledge dissemination networkingacceptable appropriate representation requested resource could found server error generated modsecurity,improve strengthen micro finance related services mfis cooperatives capacity building training knowledge dissemination networkingacceptable appropriate representation requested resource could found server error generated modsecurity,improve strengthen micro finance related services mfis cooperatives capacity building training knowledge dissemination networking,3,232
7,AMIR - Association of Micro Finance Institutions in Rwanda,Rwanda,http://www.amir.org.rw,"National, Regional, Global Network",mission amir offer diversified services microfinance institutions enable work professionally contribute poverty reduction sustainable manner,Rwanda,"['Education', 'Financial Consumer Protection', 'Financial Inclusion', 'Savings-Led Community Finance']",acceptable appropriate representation requested resource could found server error generated modsecurity,False,mission amir offer diversified services microfinance institutions enable work professionally contribute poverty reduction sustainable manneracceptable appropriate representation requested resource could found server error generated modsecurity,mission amir offer diversified services microfinance institutions enable work professionally contribute poverty reduction sustainable manneracceptable appropriate representation requested resource could found server error generated modsecurity,mission amir offer diversified services microfinance institutions enable work professionally contribute poverty reduction sustainable manner,3,243
